Code,Branch / Collection Label,Research/Branch,Actual Location
caar,Terence Cardinal Cooke-Cathedral Adult Reference,,
caj,Terence Cardinal Cooke-Cathedral Children,,
caj01,Terence Cardinal Cooke-Cathedral Children's Reference,,
caj0a,Terence Cardinal Cooke-Cathedral Children's Easy Book,,
caj0f,Terence Cardinal Cooke-Cathedral Children's Fiction,,
caj0h,Terence Cardinal Cooke-Cathedral Children's Holiday Book,,
caj0i,Terence Cardinal Cooke-Cathedral Children's Picture Book,,
caj0l,Terence Cardinal Cooke-Cathedral Children's World Languages,,
caj0n,Terence Cardinal Cooke-Cathedral Children's Non-Fiction,,
caj0t,Terence Cardinal Cooke-Cathedral Children's Fairy Tale,,
caj0v,Terence Cardinal Cooke-Cathedral Children's Non-Print Media,,
caj0y,Terence Cardinal Cooke-Cathedral Children's Young Reader,,
cajr,Terence Cardinal Cooke-Cathedral Children's Reference,,
cay,Terence Cardinal Cooke-Cathedral Young Adult,,
cay01,Terence Cardinal Cooke-Cathedral YA Reference,,
cay0f,Terence Cardinal Cooke-Cathedral YA Fiction,,
cay0l,Terence Cardinal Cooke-Cathedral YA World Languages,,
cay0n,Terence Cardinal Cooke-Cathedral YA Non-Fiction,,
cay0v,Terence Cardinal Cooke-Cathedral YA Non-Print Media,,
cayr,Terence Cardinal Cooke-Cathedral Young Adult Reference,,
cazzz,Terence Cardinal Cooke-Cathedral (error code),,
ccdwl,CCD World Lang Orders,,
ch,Chatham Square,,
cha,Chatham Square Adult,,
cha01,Chatham Square Reference,,
cha03,Chatham Square Closed Shelf Reference,,
cha0f,Chatham Square Fiction,,
cha0l,Chatham Square World Languages,,
cha0n,Chatham Square Non-Fiction,,
cha0v,Chatham Square Non-Print Media,,
char,Chatham Square Adult Reference,,
chj,Chatham Square Children,,
chj01,Chatham Square Children's Reference,,
chj0a,Chatham Square Children's Easy Book,,
chj0f,Chatham Square Children's Fiction,,
chj0h,Chatham Square Children's Holiday Book,,
chj0i,Chatham Square Children's Picture Book,,
chj0l,Chatham Square Children's World Languages,,
chj0n,Chatham Square Children's Non-Fiction,,
chj0t,Chatham Square Children's Fairy Tale,,
chj0v,Chatham Square Children's Non-Print Media,,
