Code,Branch / Collection Label,Research/Branch,Actual Location
malw1,Schwarzman Building - Wertheim Study Rm 228W - Reference,,
mao,Schwarzman Building - Manuscripts & Archives Rm 328,,
mao82,Schwarzman Building - Manuscripts & Archives Rm 328,,
maor2,Schwarzman Building - Manuscripts & Archives Rm 328,,
map,Schwarzman Building - Map Division - Rm 117,,
map82,Schwarzman Building - Map Division - Rm 117,,
mapp1,Schwarzman Building - Map Division Reference - Rm 117,,
mapp2,Schwarzman Building - Map Division - Rm 117,,
mapp3,Schwarzman Building - Map Division - Desk  - Rm 117,,
maq,Schwarzman Building - Pforzheimer Collection Rm 319,,
maqq2,Schwarzman Building - Pforzheimer Collection Rm 319,,
mar,Schwarzman Building - Rare Book Collection Rm 328,,
mar62,Schwarzman Building - Rare Book Collection Rm 328,,
mar82,Schwarzman Building - Rare Book Collection Rm 328,,
mard2,Schwarzman Building - Rare Book Collection Rm 328,,
marr2,Schwarzman Building - Rare Book Collection Rm 328,,
mas,Schwarzman Building - Photography Collection Rm 308,,
mas82,Schwarzman Building - Art & Architecture Rm 300,,
masb2,Schwarzman Building - Photography Collection Rm 308,,
mass2,Schwarzman Building - Photography Collection Rm 308,,
masu2,Schwarzman Building - Photography Collection Rm 308,,
matel,Schwarzman Building - Telephone Reference,,
mau,Schwarzman Building - Print Collection Rm 308,,
mauu1,Schwarzman Building - Print Collection Reference Rm 308,,
mauu2,Schwarzman Building - Print Collection Rm 308,,
max82,Schwarzman Building - Printing Masters,,
may,SASB - DO NOT USE,,
mazzz,Schwarzman Building - (error code),,
mb,Macomb's Bridge,,
mba,Macomb's Bridge Adult,,
mba01,Macomb's Bridge Reference,,
mba03,Macomb's Bridge Closed Shelf Reference,,
mba0f,Macomb's Bridge Fiction,,
mba0l,Macomb's Bridge World Languages,,
mba0n,Macomb's Bridge Non-Fiction,,
mba0v,Macomb's Bridge Non-Print Media,,
mbar,Macomb's Bridge Adult Reference,,
mbj,Macomb's Bridge Children,,
mbj01,Macomb's Bridge Children's Reference,,
mbj0a,Macomb's Bridge Children's Easy Book,,
mbj0f,Macomb's Bridge Children's Fiction,,
mbj0h,Macomb's Bridge Children's Holiday Book,,
mbj0i,Macomb's Bridge Children's Picture Book,,
mbj0l,Macomb's Bridge Children's World Languages,,
mbj0n,Macomb's Bridge Children's Non-Fiction,,
mbj0t,Macomb's Bridge Children's Fairy Tale,,
mbj0v,Macomb's Bridge Children's Non-Print Media,,
mbj0y,Macomb's Bridge Children's Young Reader,,
mbjr,Macomb's Bridge Children's Reference,,
mby,Macomb's Bridge Young Adult,,
mby01,Macomb's Bridge YA Reference,,
mby0f,Macomb's Bridge YA Fiction,,
mby0l,Macomb's Bridge YA World Languages,,
mby0n,Macomb's Bridge YA Non-Fiction,,
mby0v,Macomb's Bridge YA Non-Print Media,,
mbyr,Macomb's Bridge Young Adult Reference,,
mbzzz,Macomb's Bridge (error code),,
me,Melrose,,
mea,Melrose Adult,,
mea01,Melrose Reference,,
mea03,Melrose Closed Shelf Reference,,
mea0f,Melrose Fiction,,
mea0l,Melrose World Languages,,
mea0n,Melrose Non-Fiction,,
mea0v,Melrose Non-Print Media,,
mear,Melrose Adult Reference,,
mej,Melrose Children,,
mej01,Melrose Children's Reference,,
mej0a,Melrose Children's Easy Book,,
mej0f,Melrose Children's Fiction,,
mej0h,Melrose Children's Holiday Book,,
mej0i,Melrose Children's Picture Book,,
mej0l,Melrose Children's World Languages,,
mej0n,Melrose Children's Non-Fiction,,
mej0t,Melrose Children's Fairy Tale,,
mej0v,Melrose Children's Non-Print Media,,
mej0y,Melrose Children's Young Reader,,
mejr,Melrose Children's Reference,,
mey,Melrose Young Adult,,
mey01,Melrose YA Reference,,
mey0f,Melrose YA Fiction,,
mey0l,Melrose YA World Languages,,
mey0n,Melrose YA Non-Fiction,,
mey0v,Melrose YA Non-Print Media,,
meyr,Melrose Young Adult Reference,,
mezzz,Melrose (error code),,
mh,Mott Haven,,
mha,Mott Haven Adult,,
mha01,Mott Haven Reference,,
mha03,Mott Haven Closed Shelf Reference,,
mha0f,Mott Haven Fiction,,
mha0l,Mott Haven World Languages,,
mha0n,Mott Haven Non-Fiction,,
mha0v,Mott Haven Non-Print Media,,
mhar,Mott Haven Adult Reference,,
mhj,Mott Haven Children,,
mhj01,Mott Haven Children's Reference,,
mhj0a,Mott Haven Children's Easy Book,,
mhj0f,Mott Haven Children's Fiction,,
mhj0h,Mott Haven Children's Holiday Book,,
mhj0i,Mott Haven Children's Picture Book,,
mhj0l,Mott Haven Children's World Languages,,
mhj0n,Mott Haven Children's Non-Fiction,,
mhj0t,Mott Haven Children's Fairy Tale,,
mhj0v,Mott Haven Children's Non-Print Media,,
mhj0y,Mott Haven Children's Young Reader,,
mhjr,Mott Haven Children's Reference,,
mhy,Mott Haven Young Adult,,
mhy01,Mott Haven YA Reference,,
mhy0f,Mott Haven YA Fiction,,
mhy0l,Mott Haven YA World Languages,,
mhy0n,Mott Haven YA Non-Fiction,,
mhy0v,Mott Haven YA Non-Print Media,,
mhyr,Mott Haven Young Adult Reference,,
mhzzz,Mott Haven (error code),,
ml,Mulberry Street,,
mla,Mulberry Street Adult,,
mla01,Mulberry Street Reference,,
mla03,Mulberry Street Closed Shelf Reference,,
mla0f,Mulberry Street Fiction,,
mla0l,Mulberry Street World Languages,,
mla0n,Mulberry Street Non-Fiction,,
mla0v,Mulberry Street Non-Print Media,,
mlar,Mulberry Street Adult Reference,,
mlj,Mulberry Street Children,,
mlj01,Mulberry Street Children's Reference,,
mlj0a,Mulberry Street Children's Easy Book,,
mlj0f,Mulberry Street Children's Fiction,,
mlj0h,Mulberry Street Children's Holiday Book,,
mlj0i,Mulberry Street Children's Picture Book,,
mlj0l,Mulberry Street Children's World Languages,,
mlj0n,Mulberry Street Children's Non-Fiction,,
mlj0t,Mulberry Street Children's Fairy Tale,,
mlj0v,Mulberry Street Children's Non-Print Media,,
mlj0y,Mulberry Street Children's Young Reader,,
mljr,Mulberry Street Children's Reference,,
mly,Mulberry Street Young Adult,,
mly01,Mulberry Street YA Reference,,
mly0f,Mulberry Street YA Fiction,,
mly0l,Mulberry Street YA World Languages,,
mly0n,Mulberry Street YA Non-Fiction,,
mly0v,Mulberry Street YA Non-Print Media,,
mlyr,Mulberry Street Young Adult Reference,,
mlzzz,Mulberry Street (error code),,
mm,Mid-Manhattan,,
mma,Mid-Manhattan Adult,,
mma0f,Mid-Manhattan Fiction First Floor,,
mma0n,Mid-Manhattan Non-Fiction First Floor,,
mma0v,Mid-Manhattan Non-Print Media First Floor,,
mma2f,Mid-Manhattan Fiction Second Floor,,
mma2n,Mid-Manhattan Non-Fiction Second Floor,,
mma2v,Mid-Manhattan Non-Print Media Second Floor,,
mma31,Mid-Manhattan Reference Third Floor,,
mma33,Mid-Manhattan Closed Shelf Reference Third Floor,,
mma3n,Mid-Manhattan Non-Fiction Third Floor,,
mma3v,Mid-Manhattan Non-Print Media Third Floor,,
mma41,Mid-Manhattan Reference Fourth Floor,,
mma43,Mid-Manhattan Closed Shelf Reference Fourth Floor,,
mma51,Mid-Manhattan Reference Fifth Floor,,
mma53,Mid-Manhattan Closed Shelf Reference Fifth Floor,,
mma5l,Mid-Manhattan World Languages Fifth Floor,,
mma5n,Mid-Manhattan Non-Fiction Fifth Floor,,
mma5v,Mid-Manhattan Non-Print Media Fifth Floor,,
mmar,Mid-Manhattan Adult Reference,,
mmj,Mid-Manhattan Children,,
mmj0a,Mid-Manhattan Children's Easy Book First Floor,,
mmj0f,Mid-Manhattan Children's Fiction First Floor,,
mmj0i,Mid-Manhattan Children's Picture Book First Floor,,
mmj0l,Mid-Manhattan Children's World Languages,,
mmj0n,Mid-Manhattan Children's Non-Fiction First Floor,,
mmj0v,Mid-Manhattan Children's Non-Print,,
mmj0y,Mid-Manhattan Children's Young Reader First Floor,,
mmjr,Mid-Manhattan Children's Reference,,
mmy,Mid-Manhattan Young Adult,,
mmy0f,Mid-Manhattan Young Adult Fiction First Floor,,
mmy0l,Mid-Manhattan Young Adult World Languages First Floor,,
mmy0n,Mid-Manhattan Young Adult Non-Fiction First Floor,,
mmy0v,Mid-Manhattan Young Adult Non-Print,,
mmy2f,Mid-Manhattan Young Adult Fiction Second Floor,,
mmzzz,Mid-Manhattan (error code),,
mn,Mariner's Harbor,,
mna,Mariner's Harbor Adult ,,
mna01,Mariner's Harbor Reference,,
mna03,Mariner's Harbor Closed Shelf Reference,,
mna0f,Mariner's Harbor Fiction,,
mna0l,Mariner's Harbor World Languages,,
mna0n,Mariner's Harbor Non-Fiction,,
mna0v,Mariner's Harbor Non-Print Media,,
mnar,Mariner's Harbor Adult Reference,,
mnj,Mariner's Harbor Children,,
mnj01,Mariner's Harbor Children's Reference,,
mnj0a,Mariner's Harbor Children's Easy Book,,
mnj0f,Mariner's Harbor Children's Fiction,,
mnj0h,Mariner's Harbor Children's Holiday Book,,
mnj0i,Mariner's Harbor Children's Picture Book,,
mnj0l,Mariner's Harbor Children's World Languages,,
mnj0n,Mariner's Harbor Children's Non-Fiction,,
mnj0t,Mariner's Harbor Children's Fairy Tale,,
mnj0v,Mariner's Harbor Children's Non-Print Media,,
mnj0y,Mariner's Harbor Children's Young Reader,,
mnjr,Mariner's Harbor Children's Reference,,
mny,Mariner's Harbor Young Adult,,
mny01,Mariner's Harbor YA Reference,,
mny0f,Mariner's Harbor YA Fiction,,
mny0l,Mariner's Harbor YA World Languages,,
mny0n,Mariner's Harbor YA Non-Fiction,,
mny0v,Mariner's Harbor YA Non-Print Media,,
mnyr,Mariner's Harbor Young Adult Reference,,
mnzzz,Mariner's Harbor (error code),,
mo,Mosholu,,
moa,Mosholu Adult,,
moa01,Mosholu Reference,,
moa03,Mosholu Closed Shelf Reference,,
moa0f,Mosholu Fiction,,
moa0l,Mosholu World Languages,,
moa0n,Mosholu Non-Fiction,,
moa0v,Mosholu Non-Print Media,,
moar,Mosholu Adult Reference,,
moj,Mosholu Children,,
moj01,Mosholu Children's Reference,,
moj0a,Mosholu Children's Easy Book,,
moj0f,Mosholu Children's Fiction,,
moj0h,Mosholu Children's Holiday Book,,
moj0i,Mosholu Children's Picture Book,,
moj0l,Mosholu Children's World Languages,,
moj0n,Mosholu Children's Non-Fiction,,
moj0t,Mosholu Children's Fairy Tale,,
moj0v,Mosholu Children's Non-Print Media,,
moj0y,Mosholu Children's Young Reader,,
mojr,Mosholu Children's Reference,,
moy,Mosholu Young Adult,,
moy01,Mosholu YA Reference,,
moy0f,Mosholu YA Fiction,,
moy0l,Mosholu YA World Languages,,
moy0n,Mosholu YA Non-Fiction,,
moy0v,Mosholu YA Non-Print Media,,
moyr,Mosholu Young Adult Reference,,
mozzz,Mosholu (error code),,
mp,Morris Park,,
mpa,Morris Park Adult,,
mpa01,Morris Park Reference,,
mpa03,Morris Park Closed Shelf Reference,,
mpa0f,Morris Park Fiction,,
mpa0l,Morris Park World Languages,,
mpa0n,Morris Park Non-Fiction,,
mpa0v,Morris Park Non-Print Media,,
mpar,Morris Park Adult Reference,,
mpj,Morris Park Children,,
mpj01,Morris Park Children's Reference,,
mpj0a,Morris Park Children's Easy Book,,
mpj0f,Morris Park Children's Fiction,,
mpj0h,Morris Park Children's Holiday Book,,
mpj0i,Morris Park Children's Picture Book,,
mpj0l,Morris Park Children's World Languages,,
mpj0n,Morris Park Children's Non-Fiction,,
mpj0t,Morris Park Children's Fairy Tale,,
mpj0v,Morris Park Children's Non-Print Media,,
mpj0y,Morris Park Children's Young Reader,,
mpjr,Morris Park Children's Reference,,
mpy,Morris Park Young Adult,,
mpy01,Morris Park YA Reference,,
mpy0f,Morris Park YA Fiction,,
mpy0l,Morris Park YA World Languages,,
mpy0n,Morris Park YA Non-Fiction,,
mpy0v,Morris Park YA Non-Print Media,,
mpyr,Morris Park Young Adult Reference,,
mpzzz,Morris Park (error code),,
mr,Morrisania,,
mra,Morrisania Adult,,
mra01,Morrisania Reference,,
mra03,Morrisania Closed Shelf Reference,,
mra0f,Morrisania Fiction,,
mra0l,Morrisania World Languages,,
mra0n,Morrisania Non-Fiction,,
mra0v,Morrisania Non-Print Media,,
mrar,Morrisania Adult Reference,,
mrj,Morrisania Children,,
mrj01,Morrisania Children's Reference,,
mrj0a,Morrisania Children's Easy Book,,
mrj0f,Morrisania Children's Fiction,,
mrj0h,Morrisania Children's Holiday Book,,
mrj0i,Morrisania Children's Picture Book,,
mrj0l,Morrisania Children's World Languages,,
mrj0n,Morrisania Children's Non-Fiction,,
mrj0t,Morrisania Children's Fairy Tale,,
mrj0v,Morrisania Children's Non-Print Media,,
mrj0y,Morrisania Children's Young Reader,,
mrjr,Morrisania Children's Reference,,
mry,Morrisania Young Adult,,
mry01,Morrisania YA Reference,,
mry0f,Morrisania YA Fiction,,
mry0l,Morrisania YA World Languages,,
mry0n,Morrisania YA Non-Fiction,,
mry0v,Morrisania YA Non-Print Media,,
mryr,Morrisania Young Adult Reference,,
mrzzz,Morrisania (error code),,
mu,Muhlenberg,,
mua,Muhlenberg Adult,,
mua01,Muhlenberg Reference,,
mua03,Muhlenberg Closed Shelf Reference,,
mua0f,Muhlenberg Fiction,,
mua0l,Muhlenberg World Languages,,
mua0n,Muhlenberg Non-Fiction,,
mua0v,Muhlenberg Non-Print Media,,
muar,Muhlenberg Adult Reference,,
muj,Muhlenberg Children,,
muj01,Muhlenberg Children's Reference,,
muj0a,Muhlenberg Children's Easy Book,,
muj0f,Muhlenberg Children's Fiction,,
muj0h,Muhlenberg Children's Holiday Book,,
muj0i,Muhlenberg Children's Picture Book,,
muj0l,Muhlenberg Children's World Languages,,
muj0n,Muhlenberg Children's Non-Fiction,,
muj0t,Muhlenberg Children's Fairy Tale,,
muj0v,Muhlenberg Children's Non-Print Media,,
muj0y,Muhlenberg Children's Young Reader,,
mujr,Muhlenberg Children's Reference,,
muy,Muhlenberg Young Adult,,
muy01,Muhlenberg YA Reference,,
muy0f,Muhlenberg YA Fiction,,
muy0l,Muhlenberg YA World Languages,,
muy0n,Muhlenberg YA Non-Fiction,,
muy0v,Muhlenberg YA Non-Print Media,,
muyr,Muhlenberg Young Adult Reference,,
muzzz,Muhlenberg (error code),,
my,Performing Arts Library at Lincoln Center,Both,
mya,Performing Arts - Adult,Branch,
mya01,Performing Arts Reference,Branch,
mya03,Performing Arts Closed Shelf Reference,Branch,
mya0n,Performing Arts Circulating Non-Fiction,Branch,
mya0s,Performing Arts Circulating Score,Branch,
mya0v,Performing Arts Circulating Recorded Media,Branch,
mya21,Performing Arts Recorded Media Reference,Branch,
mya23,Performing Arts Recorded Media Reference,Branch,
myaos,Performing Arts - Orchestra Collection,Branch,
myar,Performing Arts - Reserve Film and Video,Branch,
myarn,Reserve Film and Video Adult Non-Fiction,Branch,
myarv,Reserve Film and Video Adult Fiction,Branch,
myas1,Performing Arts Song Index Reference Score,Branch,
myav3,Performing Arts Closed Shelf Reference Recorded Media,Branch,
myd,Performing Arts Research Collections - Dance,Research,
myd11,Performing Arts Research Collections - Dance - Reference,Research,
myd22,Performing Arts Research Collections - Dance,Research,
myd28,Performing Arts Research Collections  Dance,Research,
myd32,Performing Arts Research Collections - Dance,Research,
myd38,Performing Arts Research Collections  Dance,Research,
myd42,OFFSITE Rose - Request in advance for use at Performing Arts,Research,
myd48,OFFSITE Rose - Request in advance for use at Performing Arts,Research,
myf,Performing Arts Research Collections - TOFT,Research,
myf22,Performing Arts Research Collections - TOFT,Research,
myh,Performing Arts Research Collections - Recorded Sound,Research,General
myh11,Performing Arts Research Collections - Recorded Sound - Reference ,Research,Open shelf reference-3rd floor
myh22,Performing Arts Research Collections - Recorded Sound ,Research,Stacks (other than 3rd floor)
myh23,Performing Arts Research Collections - Recorded Sound - 2nd Floor Reference,Research,2nd floor reference
myh32,Performing Arts Research Collections - Recorded Sound ,Research,3rd floor stacks & back room
myh42,OFFSITE Rose - Request in advance for use at Performing Arts,Research,Rose building
myj,Performing Arts Children,Branch,
myj2v,Performing Arts Circulating Children's Recorded Media,Branch,
myjrv,Reserve Film and Video Children's Fiction,Branch,
mym,Performing Arts Research Collections - Music,Research,General
mym11,Performing Arts Research Collections - Music - Reference,Research,Open shelf reference
mym22,Performing Arts Research Collections - Music,Research,Stacks (not used)
mym28,Performing Arts Research Collections - Music,Research,(not used)
mym32,Performing Arts Research Collections - Music,Research,Stacks
mym38,Performing Arts Research Collections - Music,Research,Special Collections
mym42,OFFSITE Rose - Request in advance for use at Performing Arts,Research,Rose
mym48,OFFSITE Rose - Request in advance for use at Performing Arts,Research,Rose restricted (not used)
myr,Performing Arts Research Collections,Branch,
myrfv,Performing Arts - Reserve Film and Video,Branch,
myt,Performing Arts Research Collections - Theatre,Research,
myt11,Performing Arts Research Collections - Theatre - Reference,Research,
myt22,Performing Arts Research Collections - Theatre,Research,
myt28,Performing Arts Research Collections  Theatre,Research,
myt32,Performing Arts Research Collections  Theatre,Research,
myt38,Performing Arts Research Collections  Theatre,Research,
myt42,OFFSITE Rose - Request in advance for use at Performing Arts,Research,
myt48,OFFSITE Rose - Request in advance for use at Performing Arts,Research,
myv,Performing Arts - Reserve Film and Video,Branch,
myy,Performing Arts Young Adult,Branch,
myy0v,Performing Arts Circulating YA Non-Print Media,Branch,
myy2v,Performing Arts Circulating Young Adult Recorded Media,Branch,
myyrv,Reserve Film and Video Young Adult,Branch,
myzzz,Performing Arts Library (error code),Both,
nb,West New Brighton,,
nba,West New Brighton Adult,,
nba01,West New Brighton Reference,,
nba03,West New Brighton Closed Shelf Reference,,
nba0f,West New Brighton Fiction,,
nba0l,West New Brighton World Languages,,
nba0n,West New Brighton Non-Fiction,,
nba0v,West New Brighton Non-Print Media,,
nbar,West New Brighton Adult Reference,,
nbj,West New Brighton Children,,
nbj01,West New Brighton Children's Reference,,
nbj0a,West New Brighton Children's Easy Book,,
nbj0f,West New Brighton Children's Fiction,,
nbj0h,West New Brighton Children's Holiday Book,,
nbj0i,West New Brighton Children's Picture Book,,
nbj0l,West New Brighton Children's World Languages,,
nbj0n,West New Brighton Children's Non-Fiction,,
nbj0t,West New Brighton Children's Fairy Tale,,
nbj0v,West New Brighton Children's Non-Print Media,,
nbj0y,West New Brighton Children's Young Reader,,
nbjr,West New Brighton Children's Reference,,
nby,West New Brighton Young Adult,,
nby01,West New Brighton YA Reference,,
nby0f,West New Brighton YA Fiction,,
nby0l,West New Brighton YA World Languages,,
nby0n,West New Brighton YA Non-Fiction,,
nby0v,West New Brighton YA Non-Print Media,,
nbyr,West New Brighton Young Adult Reference,,
nbzzz,West New Brighton (error code),,
nd,New Dorp,,
nda,New Dorp Adult,,
nda01,New Dorp Reference,,
nda03,New Dorp Closed Shelf Reference,,
nda0f,New Dorp Fiction,,
nda0l,New Dorp World Languages,,
nda0n,New Dorp Non-Fiction,,
nda0v,New Dorp Non-Print Media,,
ndar,New Dorp Adult Reference,,
ndj,New Dorp Children,,
ndj01,New Dorp Children's Reference,,
ndj0a,New Dorp Children's Easy Book,,
ndj0f,New Dorp Children's Fiction,,
ndj0h,New Dorp Children's Holiday Book,,
ndj0i,New Dorp Children's Picture Book,,
ndj0l,New Dorp Children's World Languages,,
ndj0n,New Dorp Children's Non-Fiction,,
ndj0t,New Dorp Children's Fairy Tale,,
ndj0v,New Dorp Children's Non-Print Media,,
ndj0y,New Dorp Children's Young Reader,,
ndjr,New Dorp Children's Reference,,
ndy,New Dorp Young Adult,,
ndy01,New Dorp YA Reference,,
ndy0f,New Dorp YA Fiction,,
ndy0l,New Dorp YA World Languages,,
ndy0n,New Dorp YA Non-Fiction,,
ndy0v,New Dorp YA Non-Print Media,,
ndyr,New Dorp Young Adult Reference,,
ndzzz,New Dorp (error code),,
ns,96th Street,,
nsa,96th Street Adult,,
nsa01,96th Street Reference,,
nsa03,96th Street Closed Shelf Reference,,
nsa0f,96th Street Fiction,,
nsa0l,96th Street World Languages,,
nsa0n,96th Street Non-Fiction,,
nsa0v,96th Street Non-Print Media,,
nsar,96th Street Adult Reference,,
nsj,96th Street Children,,
nsj01,96th Street Children's Reference,,
nsj0a,96th Street Children's Easy Book,,
nsj0f,96th Street Children's Fiction,,
nsj0h,96th Street Children's Holiday Book,,
nsj0i,96th Street Children's Picture Book,,
nsj0l,96th Street Children's World Languages,,
nsj0n,96th Street Children's Non-Fiction,,
nsj0t,96th Street Children's Fairy Tale,,
nsj0v,96th Street Children's Non-Print Media,,
nsj0y,96th Street Children's Young Reader,,
nsjr,96th Street Children's Reference,,
nsy,96th Street Young Adult,,
nsy01,96th Street YA Reference,,
nsy0f,96th Street YA Fiction,,
nsy0l,96th Street YA World Languages,,
nsy0n,96th Street YA Non-Fiction,,
nsy0v,96th Street YA Non-Print Media,,
nsyr,96th Street Young Adult Reference,,
nszzz,96th Street (error code),,
ot,Ottendorfer,,
ota,Ottendorfer Adult,,
ota01,Ottendorfer Reference,,
ota03,Ottendorfer Closed Shelf Reference,,
ota0f,Ottendorfer Fiction,,
ota0l,Ottendorfer World Languages,,
ota0n,Ottendorfer Non-Fiction,,
ota0v,Ottendorfer Non-Print Media,,
otar,Ottendorfer Adult Reference,,
otj,Ottendorfer Children,,
otj01,Ottendorfer Children's Reference,,
otj0a,Ottendorfer Children's Easy Book,,
otj0f,Ottendorfer Children's Fiction,,
otj0h,Ottendorfer Children's Holiday Book,,
otj0i,Ottendorfer Children's Picture Book,,
otj0l,Ottendorfer Children's World Languages,,
otj0n,Ottendorfer Children's Non-Fiction,,
otj0t,Ottendorfer Children's Fairy Tale,,
otj0v,Ottendorfer Children's Non-Print Media,,
otj0y,Ottendorfer Children's Young Reader,,
otjr,Ottendorfer Children's Reference,,
oty,Ottendorfer Young Adult,,
oty01,Ottendorfer YA Reference,,
oty0f,Ottendorfer YA Fiction,,
oty0l,Ottendorfer YA World Languages,,
oty0n,Ottendorfer YA Non-Fiction,,
oty0v,Ottendorfer YA Non-Print Media,,
otyr,Ottendorfer Young Adult Reference,,
otzzz,Ottendorfer (error code),,
pk,Parkchester,,
pka,Parkchester Adult,,
pka01,Parkchester Reference,,
pka03,Parkchester Closed Shelf Reference,,
pka0f,Parkchester Fiction,,
pka0l,Parkchester World Languages,,
pka0n,Parkchester Non-Fiction,,
pka0v,Parkchester Non-Print Media,,
pkar,Parkchester Adult Reference,,
pkj,Parkchester Children,,
pkj01,Parkchester Children's Reference,,
pkj0a,Parkchester Children's Easy Book,,
pkj0f,Parkchester Children's Fiction,,
pkj0h,Parkchester Children's Holiday Book,,
pkj0i,Parkchester Children's Picture Book,,
pkj0l,Parkchester Children's World Languages,,
pkj0n,Parkchester Children's Non-Fiction,,
pkj0t,Parkchester Children's Fairy Tale,,
pkj0v,Parkchester Children's Non-Print Media,,
pkj0y,Parkchester Children's Young Reader,,
pkjr,Parkchester Children's Reference,,
pky,Parkchester Young Adult,,
pky01,Parkchester YA Reference,,
pky0f,Parkchester YA Fiction,,
pky0l,Parkchester YA World Languages,,
pky0n,Parkchester YA Non-Fiction,,
pky0v,Parkchester YA Non-Print Media,,
pkyr,Parkchester Young Adult Reference,,
pkzzz,Parkchester (error code),,
pm,Pelham Bay,,
pma,Pelham Bay Adult,,
pma01,Pelham Bay Reference,,
pma03,Pelham Bay Closed Shelf Reference,,
pma0f,Pelham Bay Fiction,,
pma0l,Pelham Bay World Languages,,
pma0n,Pelham Bay Non-Fiction,,
pma0v,Pelham Bay Non-Print Media,,
pmar,Pelham Bay Adult Reference,,
pmj,Pelham Bay Children,,
pmj01,Pelham Bay Children's Reference,,
pmj0a,Pelham Bay Children's Easy Book,,
pmj0f,Pelham Bay Children's Fiction,,
pmj0h,Pelham Bay Children's Holiday Book,,
pmj0i,Pelham Bay Children's Picture Book,,
pmj0l,Pelham Bay Children's World Languages,,
pmj0n,Pelham Bay Children's Non-Fiction,,
pmj0t,Pelham Bay Children's Fairy Tale,,
pmj0v,Pelham Bay Children's Non-Print Media,,
pmj0y,Pelham Bay Children's Young Reader,,
pmjr,Pelham Bay Children's Reference,,
pmy,Pelham Bay Young Adult,,
pmy01,Pelham Bay YA Reference,,
pmy0f,Pelham Bay YA Fiction,,
pmy0l,Pelham Bay YA World Languages,,
pmy0n,Pelham Bay YA Non-Fiction,,
pmy0v,Pelham Bay YA Non-Print Media,,
pmyr,Pelham Bay Young Adult Reference,,
pmzzz,Pelham Bay (error code),,
pr,Port Richmond,,
pra,Port Richmond Adult,,
pra01,Port Richmond Reference,,
pra03,Port Richmond Closed Shelf Reference,,
pra0f,Port Richmond Fiction,,
pra0l,Port Richmond World Languages,,
pra0n,Port Richmond Non-Fiction,,
pra0v,Port Richmond Non-Print Media,,
prar,Port Richmond Adult Reference,,
prj,Port Richmond Children,,
prj01,Port Richmond Children's Reference,,
prj0a,Port Richmond Children's Easy Book,,
prj0f,Port Richmond Children's Fiction,,
prj0h,Port Richmond Children's Holiday Book,,
prj0i,Port Richmond Children's Picture Book,,
prj0l,Port Richmond Children's World Languages,,
prj0n,Port Richmond Children's Non-Fiction,,
prj0t,Port Richmond Children's Fairy Tale,,
prj0v,Port Richmond Children's Non-Print Media,,
prj0y,Port Richmond Children's Young Reader,,
prjr,Port Richmond Children's Reference,,
pry,Port Richmond Young Adult,,
pry01,Port Richmond YA Reference,,
pry0f,Port Richmond YA Fiction,,
pry0l,Port Richmond YA World Languages,,
pry0n,Port Richmond YA Non-Fiction,,
pry0v,Port Richmond YA Non-Print Media,,
pryr,Port Richmond Young Adult Reference,,
przzz,Port Richmond (error code),,
qc,NYPL Research Libraries,,
qc2ma,OFFSITE - TSD - Request in Advance,,
qc2mj,OFFSITE - TSD - Request in Advance,,
qc2sc,OFFSITE - TSD - Request in Advance,,
qc2sl,OFFSITE - TSD - Request in Advance,,
qcma2,OFFSITE - TSD - Request in Advance for use at Schwarzman Bldg,,
qcmb2,OFFSITE - TSD - Request in Advance for use at Schwarzman Bldg,,
qcmb8,OFFSITE - Request in Advance for use at SASB Art Division,,
qcmb9,SASB Art--Offsite--Restricted,,
qcmf2,OFFSITE - TSD - Request in Advance for use at Schwarzman Bldg,,
qcmf8,OFFSITE - Request in Advance for use at SASB Jewish Division,,
qcmf9,SASB Jewish--Offsite--Restricted,,
qcmg2,OFFSITE - TSD - Request in Advance for use at Schwarzman Bldg,,
qcmg8,OFFSITE - Request in Advance for use at SASB Local History & Geneology Division,,
qcmi2,OFFSITE - TSD - Request in Advance for use at Schwarzman Bldg,,
qcmj2,OFFSITE - TSD - Request in Advance for use at Schwarzman Bldg,,
qcml2,OFFSITE - TSD - Request in Advance for use at Schwarzman Bldg,,
qcmo2,OFFSITE - TSD - Request in Advance for use at Schwarzman Bldg,,
qcmp2,OFFSITE - TSD - Request in Advance for use at Schwarzman Bldg,,
qcmq2,OFFSITE - TSD - Request in Advance for use at Schwarzman Bldg,,
qcmr2,OFFSITE - TSD - Request in Advance for use at Schwarzman Bldg,,
qcmy2,OFFSITE - TSD - Request in Advance for use at Performing Arts,,
qcsc2,OFFSITE - TSD - Request in Advance for use at Schomburg Center,,
qcsl2,OFFSITE - TSD - Request in Advance for use at SIBL,,
qcxx2,OFFSITE - TSD - Preservation Division use only,,
rc,NYPL Research Libraries,,
rc2ma,OFFSITE - Request in Advance,,
rc2mj,OFFSITE - Request in Advance,,
rc2sc,OFFSITE - Request in Advance,,
rc2sl,OFFSITE - Request in Advance,,
rcma2,OFFSITE - Request in Advance for use at Schwarzman Bldg,,
rcmb2,OFFSITE - Request in Advance for use at Schwarzman Bldg - Art Division,,
rcmb8,OFFSITE - Request in Advance for use at Schwarzman Bldg. - Art Division,,
rcmb9,SASB Art--Offsite--Restricted,,
rcmf2,OFFSITE - Request in Advance for use at Schwarzman Bldg - Jewish Division,,
